RegionID,zipcode,City,State,Metro,CountyName,SizeRank,PctChangeLast6Mos,PctChangeYOY
66798,21146,Severna Park,MD,Baltimore-Columbia-Towson,Anne Arundel County,4401,-0.003802281,0
99498,98010,Black Diamond,WA,Seattle-Tacoma-Bellevue,King County,10606,-0.004016064,0
66877,21401,Annapolis,MD,Baltimore-Columbia-Towson,Anne Arundel County,953,-0.004065041,0
66722,21012,Arnold,MD,Baltimore-Columbia-Towson,Anne Arundel County,5406,-0.004219409,0
60591,7082,Montville,NJ,New York-Newark-Jersey City,Morris County,11123,-0.004310345,0
97777,94571,Rio Vista,CA,Vallejo-Fairfield,Solano County,7481,-0.004347826,0
99517,98032,Kent,WA,Seattle-Tacoma-Bellevue,King County,2224,-0.004405286,0
96217,90717,Lomita,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,4918,-0.004683841,0
58853,2666,Truro,MA,Barnstable Town,Barnstable County,13408,-0.004683841,0
96180,90620,Buena Park,CA,Los Angeles-Long Beach-Anaheim,Orange County,2585,-0.004750594,0
91651,77002,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,6639,-0.004761905,0
61208,8844,Hillsborough,NJ,New York-Newark-Jersey City,Somerset County,1971,-0.004784689,0
82196,55344,Eden Prairie,MN,Minneapolis-St. Paul-Bloomington,Hennepin County,5801,-0.004784689,0
58961,2881,Kingston,RI,Providence-Warwick,Washington County,13015,-0.004878049,0
60661,7420,Bloomingdale,NJ,New York-Newark-Jersey City,Passaic County,11417,-0.004950495,0
73004,34110,Naples,FL,Naples-Immokalee-Marco Island,Collier County,1922,-0.005025126,0
66596,20743,Coral Hills,MD,Washington-Arlington-Alexandria,Prince Georges County,1911,-0.005181347,0
70237,28805,Asheville,NC,Asheville,Buncombe County,5086,-0.005208333,0
73014,34135,Bonita Springs,FL,Cape Coral-Fort Myers,Lee County,198,-0.005617978,0
84277,60008,Rolling Meadows,IL,Chicago-Naperville-Elgin,Cook County,5216,-0.005617978,0
58244,1073,Southampton,MA,Springfield,Hampshire County,10119,-0.005617978,0
67341,22642,Linden,VA,Washington-Arlington-Alexandria,Warren County,11099,-0.005714286,0
60329,6470,Newtown,CT,Bridgeport-Stamford-Norwalk,Fairfield County,6937,-0.005747126,0
70218,28778,Swannanoa,NC,Asheville,Buncombe County,8024,-0.005747126,0
60340,6482,Newtown,CT,Bridgeport-Stamford-Norwalk,Fairfield County,8641,-0.005747126,0
67751,23507,Norfolk,VA,Virginia Beach-Norfolk-Newport News,Norfolk City,9337,-0.005780347,0
86001,63341,Wentzville,MO,St. Louis,Saint Charles County,12262,-0.005813953,0
72918,33928,Estero,FL,Cape Coral-Fort Myers,Lee County,1417,-0.005847953,0
66794,21136,Reisterstown,MD,Baltimore-Columbia-Towson,Baltimore County,2597,-0.005882353,0
399603,60169,Hoffman Estates,IL,Chicago-Naperville-Elgin,Cook County,2999,-0.005952381,0
67318,22578,White Stone,VA,,Lancaster County,12144,-0.005988024,0
